deployment_level,mach,cd
0.0,0.0,0.0
0.0,0.1,0.0
0.0,0.2,0.0
0.0,0.3,0.0
0.0,0.4,0.0
0.0,0.5,0.0
0.0,0.6,0.0
0.0,0.7,0.0
0.0,0.8,0.0
0.0,0.9,0.0
0.0,1.0,0.0
0.0,1.1,0.0
0.0,1.2,0.0
0.0,1.3,0.0
0.0,1.4,0.0
0.0,1.5,0.0
0.1,0.0,0.0
0.1,0.1,0.0
0.1,0.2,0.0
0.1,0.3,0.0675
0.1,0.4,0.033
0.1,0.5,0.039
0.1,0.6,0.114
0.1,0.7,0.0765
0.1,0.8,0.087
0.1,0.9,0.033
0.1,1.0,0.0
0.1,1.1,0.0
0.1,1.2,0.0
0.1,1.3,0.0
0.1,1.4,0.0
0.1,1.5,0.0
0.2,0.0,0.0
0.2,0.1,0.033
0.2,0.2,0.093
0.2,0.3,0.1395
0.2,0.4,0.114
0.2,0.5,0.105
0.2,0.6,0.1935
0.2,0.7,0.153
0.2,0.8,0.1725
0.2,0.9,0.126
0.2,1.0,0.027
0.2,1.1,0.0
0.2,1.2,0.0
0.2,1.3,0.0
0.2,1.4,0.0
0.2,1.5,0.0
0.3,0.0,0.0
0.3,0.1,0.084
0.3,0.2,0.159
0.3,0.3,0.2205
0.3,0.4,0.2085
0.3,0.5,0.2085
0.3,0.6,0.2745
0.3,0.7,0.2535
0.3,0.8,0.2745
0.3,0.9,0.2235
0.3,1.0,0.1395
0.3,1.1,0.105
0.3,1.2,0.105
0.3,1.3,0.105
0.3,1.4,0.105
0.3,1.5,0.105
0.4,0.0,0.0
0.4,0.1,0.18
0.4,0.2,0.2535
0.4,0.3,0.321
0.4,0.4,0.2925
0.4,0.5,0.321
0.4,0.6,0.393
0.4,0.7,0.3795
0.4,0.8,0.4065
0.4,0.9,0.3795
0.4,1.0,0.288
0.4,1.1,0.246
0.4,1.2,0.246
0.4,1.3,0.246
0.4,1.4,0.246
0.4,1.5,0.246
0.5,0.0,0.0
0.5,0.1,0.3255
0.5,0.2,0.3255
0.5,0.3,0.4125
0.5,0.4,0.3855
0.5,0.5,0.426
0.5,0.6,0.5235
0.5,0.7,0.51
0.5,0.8,0.54
0.5,0.9,0.51
0.5,1.0,0.432
0.5,1.1,0.3795
0.5,1.2,0.3795
0.5,1.3,0.3795
0.5,1.4,0.3795
0.5,1.5,0.3795
0.6,0.0,0.0
0.6,0.1,0.3675
0.6,0.2,0.432
0.6,0.3,0.573
0.6,0.4,0.54
0.6,0.5,0.573
0.6,0.6,0.6855
0.6,0.7,0.6675
0.6,0.8,0.6705
0.6,0.9,0.651
0.6,1.0,0.6045
0.6,1.1,0.54
0.6,1.2,0.54
0.6,1.3,0.54
0.6,1.4,0.54
0.6,1.5,0.54
0.7,0.0,0.0
0.7,0.1,0.48
0.7,0.2,0.588
0.7,0.3,0.7305
0.7,0.4,0.714
0.7,0.5,0.714
0.7,0.6,0.846
0.7,0.7,0.7905
0.7,0.8,0.7965
0.7,0.9,0.7905
0.7,1.0,0.78
0.7,1.1,0.7305
0.7,1.2,0.7305
0.7,1.3,0.7305
0.7,1.4,0.7305
0.7,1.5,0.7305
0.8,0.0,0.0
0.8,0.1,0.639
0.8,0.2,0.7605
0.8,0.3,0.852
0.8,0.4,0.807
0.8,0.5,0.807
0.8,0.6,0.9255
0.8,0.7,0.9195
0.8,0.8,0.936
0.8,0.9,0.9195
0.8,1.0,0.78
0.8,1.1,0.8865
0.8,1.2,0.8865
0.8,1.3,0.8865
0.8,1.4,0.8865
0.8,1.5,0.8865
0.9,0.0,0.0
0.9,0.1,0.7605
0.9,0.2,0.852
0.9,0.3,0.9195
0.9,0.4,0.9
0.9,0.5,0.9135
0.9,0.6,1.026
0.9,0.7,1.026
0.9,0.8,1.053
0.9,0.9,1.062
0.9,1.0,0.936
0.9,1.1,1.011
0.9,1.2,1.011
0.9,1.3,1.011
0.9,1.4,1.011
0.9,1.5,1.011
1.0,0.0,0.0
1.0,0.1,1.398
1.0,0.2,1.398
1.0,0.3,1.398
1.0,0.4,1.323
1.0,0.5,1.197
1.0,0.6,1.3875
1.0,0.7,1.323
1.0,0.8,1.374
1.0,0.9,1.215
1.0,1.0,1.2585
1.0,1.1,1.197
1.0,1.2,1.197
1.0,1.3,1.197
1.0,1.4,1.197
1.0,1.5,1.197
1.1,0.0,0.0
1.1,1.2,0.0
1.1,1.3,0.0
1.1,1.4,0.0
1.1,1.5,0.0
